frame_idx,time_sec,kps_ref,kps_cur,good_matches,inliers,inlier_ratio,centroid_ref_x,centroid_ref_y,centroid_warped_x,centroid_warped_y,centroid_shift_px,mean_dist_ref,mean_dist_warped,shape_drift_abs,shape_drift_rel,reprojection_error_px,status
20,0.6665097046413502,229,255,160,155,0.968750,655.9962768554688,402.1321105957031,655.9957885742188,402.1529846191406,0.020879734307527542,69.9844970703125,70.03067016601562,0.046173095703125,0.0006597617706209348,0.24348129332065582,ok
25,0.8331371308016877,229,210,144,140,0.972222,654.73193359375,394.3893737792969,654.7318725585938,394.38946533203125,0.0001100326917367056,71.25804901123047,71.26240539550781,0.00435638427734375,6.113532910025606e-05,0.24757657945156097,ok
30,0.9997645569620253,229,227,150,140,0.933333,654.4729614257812,400.85894775390625,654.4730834960938,400.8590393066406,0.000152587890625,69.60218811035156,69.65091705322266,0.04872894287109375,0.0007001064793226889,0.4151005446910858,ok
35,1.1663919831223628,229,230,161,151,0.937888,654.4952392578125,402.5772705078125,654.495361328125,402.5772705078125,0.0001220703125,70.58659362792969,70.59747314453125,0.0108795166015625,0.00015413006978222697,0.28641995787620544,ok
40,1.3330194092827004,229,236,156,150,0.961538,655.6671142578125,401.4646911621094,655.6670532226562,401.4645080566406,0.00019301011343486607,69.923828125,69.97885131835938,0.055023193359375,0.0007869019021815033,0.3981785178184509,ok
45,1.499646835443038,229,224,152,142,0.934211,656.0769653320312,401.4980773925781,656.0564575195312,401.5099182128906,0.02368069626390934,68.92886352539062,68.97903442382812,0.0501708984375,0.0007278648721521291,0.4551718235015869,ok
50,1.6662742616033754,229,220,149,143,0.959732,655.3081665039062,392.63720703125,655.2996826171875,392.64593505859375,0.012171884998679161,66.09711456298828,66.13175201416016,0.034637451171875,0.000524038778407894,0.4062165915966034,ok
55,1.832901687763713,229,224,141,137,0.971631,655.4165649414062,395.7637634277344,655.416259765625,395.76385498046875,0.00031861287425272167,68.12397766113281,68.16384887695312,0.0398712158203125,0.0005852743364259023,0.3374519944190979,ok
60,1.9995291139240505,229,238,145,139,0.958621,657.0885009765625,400.739990234375,657.0889282226562,400.7611999511719,0.021214019507169724,68.2433853149414,68.28851318359375,0.04512786865234375,0.0006612782827827171,0.42578744888305664,ok
65,2.1661565400843883,229,240,147,143,0.972789,655.7857055664062,404.2010803222656,655.78564453125,404.2009582519531,0.00013647876039613038,68.92503356933594,68.98088836669922,0.05585479736328125,0.0008103702598431594,0.4647800326347351,ok
70,2.3327839662447256,229,236,157,147,0.936306,655.0554809570312,402.6031188964844,655.0418701171875,402.6133728027344,0.017041055485606194,69.37980651855469,69.43289947509766,0.05309295654296875,0.0007652508591065292,0.38500767946243286,ok
75,2.4994113924050634,229,239,143,140,0.979021,657.3287353515625,400.9927673339844,657.3285522460938,400.9928283691406,0.00019301011343486607,69.84001159667969,69.87789916992188,0.0378875732421875,0.0005424909357258574,0.3265647888183594,ok
80,2.6660388185654007,229,238,138,133,0.963768,651.4398193359375,399.3836975097656,651.4395751953125,399.3836669921875,0.0002460405812598765,65.0796127319336,65.12933349609375,0.04972076416015625,0.0007639990785587298,0.44632774591445923,ok
85,2.8326662447257385,229,226,132,124,0.939394,652.1399536132812,406.0248107910156,652.1397094726562,406.0248718261719,0.0002516543900128454,63.88115310668945,63.95859146118164,0.0774383544921875,0.001212225370491604,0.6834285259246826,ok
90,2.999293670886076,229,223,144,136,0.944444,657.6211547851562,404.5,657.605224609375,404.4927978515625,0.017482604831457138,65.88180541992188,65.9560317993164,0.07422637939453125,0.0011266597647320404,0.5036165118217468,ok
