frame_idx,time_sec,kps_ref,kps_cur,good_matches,inliers,inlier_ratio,centroid_ref_x,centroid_ref_y,centroid_warped_x,centroid_warped_y,centroid_shift_px,mean_dist_ref,mean_dist_warped,shape_drift_abs,shape_drift_rel,reprojection_error_px,status
20,0.6665097046413502,101,103,88,87,0.988636,650.1901245117188,397.3564453125,650.1900634765625,397.3564453125,6.103515625e-05,51.81646728515625,51.822872161865234,0.006404876708984375,0.00012360697370079426,0.18001680076122284,ok
25,0.8331371308016877,101,101,90,88,0.977778,650.429443359375,395.8028564453125,650.4293212890625,395.8028259277344,0.0001258271950064227,52.50227355957031,52.51913070678711,0.016857147216796875,0.00032107461399115146,0.20782409608364105,ok
30,0.9997645569620253,101,105,87,85,0.977011,651.2166748046875,398.33038330078125,651.2167358398438,398.3302917480469,0.0001100326917367056,53.21753692626953,53.26253890991211,0.045001983642578125,0.0008456231956944253,0.3132924437522888,ok
35,1.1663919831223628,101,99,87,82,0.942529,651.5323486328125,396.8288269042969,651.532470703125,396.8288269042969,0.0001220703125,54.15753173828125,54.17972183227539,0.022190093994140625,0.0004097323729850775,0.17626488208770752,ok
40,1.3330194092827004,101,108,92,92,1.000000,652.5576782226562,398.0326843261719,652.5568237304688,398.063720703125,0.031048137694597244,53.22134017944336,53.22755432128906,0.006214141845703125,0.00011676034133584869,0.34015265107154846,ok
45,1.499646835443038,101,109,90,87,0.966667,649.8060913085938,395.2392272949219,649.805908203125,395.2391662597656,0.00019301011343486607,51.54860305786133,51.584041595458984,0.03543853759765625,0.0006874781370482116,0.4029445946216583,ok
50,1.6662742616033754,101,103,88,85,0.965909,650.4963989257812,399.5315246582031,650.4963989257812,399.5315246582031,0.0,52.65214920043945,52.68183517456055,0.02968597412109375,0.0005638131504961621,0.3154269754886627,ok
55,1.832901687763713,101,105,90,89,0.988889,650.9522094726562,396.05902099609375,650.952392578125,396.05908203125,0.00019301011343486607,52.875003814697266,52.89579391479492,0.02079010009765625,0.0003931933540944234,0.23303599655628204,ok
60,1.9995291139240505,101,107,91,88,0.967033,652.341064453125,396.3017272949219,652.34423828125,396.2875671386719,0.01451148558408022,52.77293395996094,52.79349136352539,0.020557403564453125,0.00038954445057100897,0.31461000442504883,ok
65,2.1661565400843883,101,106,88,86,0.977273,649.030029296875,398.1719970703125,649.0402221679688,398.1632995605469,0.013399302028119564,52.39628982543945,52.43964767456055,0.04335784912109375,0.000827498459634114,0.4245668351650238,ok
70,2.3327839662447256,101,104,87,87,1.000000,651.523193359375,399.0761413574219,651.5072631835938,399.0595397949219,0.023008311167359352,52.03646469116211,52.110435485839844,0.07397079467773438,0.0014215184508931022,0.43932920694351196,ok
75,2.4994113924050634,101,105,84,83,0.988095,649.3761596679688,394.91033935546875,649.371337890625,394.95660400390625,0.04651523754000664,52.62372970581055,52.64581298828125,0.022083282470703125,0.0004196449509405404,0.2974030077457428,ok
80,2.6660388185654007,101,105,84,80,0.952381,651.2549438476562,397.8211364746094,651.2631225585938,397.7603454589844,0.061338722705841064,53.48125076293945,53.60908126831055,0.12783050537109375,0.002390192890920113,0.4672831594944,ok
85,2.8326662447257385,101,104,83,78,0.939759,649.3251953125,398.4827575683594,649.3073120117188,398.7004089355469,0.21838481724262238,53.0835075378418,53.252296447753906,0.16878890991210938,0.003179686455191084,0.6124272346496582,ok
90,2.999293670886076,101,103,88,86,0.977273,651.3296508789062,397.7008056640625,651.3295288085938,397.7007141113281,0.000152587890625,52.136112213134766,52.20133590698242,0.06522369384765625,0.0012510271878543391,0.5132507681846619,ok
